pubmed articles,sample_id
24861311,"['lp_2942', 'lp_2956', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2943', 'lp_2945']"
28533181,"['lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
29750492,"['lp_2942', 'lp_2956', 'lp_2991', 'lp_0271', 'lp_0272', 'lp_2943', 'lp_2945']"
15752331,"['lp_0050', 'lp_0172', 'lp_0173', 'lp_1002', 'lp_2631', 'lp_0796']"
19446023,"['lp_0050', 'lp_0600', 'lp_2631', 'lp_2714', 'lp_2943', 'lp_0373']"
19423635,"['lp_0050', 'lp_0600', 'lp_1002', 'lp_2578', 'lp_0796', 'lp_0373']"
20033357,"['lp_0050', 'lp_1002', 'lp_1760', 'lp_2578', 'lp_2631', 'lp_0796']"
21840797,"['lp_0050', 'lp_2486', 'lp_2991', 'lp_3059', 'lp_3127', 'lp_0373']"
20505752,"['lp_0050', 'lp_0775', 'lp_2714', 'lp_2991', 'lp_2943', 'lp_0373']"
28833935,"['lp_0050', 'lp_2631', 'lp_0271', 'lp_0272', 'lp_0796', 'lp_2945']"
27295039,"['lp_0050', 'lp_0789', 'lp_1002', 'lp_2631', 'lp_3014', 'lp_0796']"
21104198,"['lp_0050', 'lp_0600', 'lp_2486', 'lp_3059', 'lp_3127', 'lp_0373']"
21375715,"['lp_0050', 'lp_0725', 'lp_1153', 'lp_2256', 'lp_2991', 'lp_2943']"
13948358,"['lp_0050', 'lp_0725', 'lp_0789', 'lp_1153', 'lp_2256', 'lp_3014']"
11073918,"['lp_0172', 'lp_0173', 'lp_2376', 'lp_0271', 'lp_0272', 'lp_2945']"
